"gene_id","keep_primary","total_count_primary","max_cpm_primary","samples_cpm_ge1_primary"
"ENSG00000171790",TRUE,1840,4.22164552545022,50
"ENSG00000010803",TRUE,61886,58.4905660377358,101
"ENSG00000204060",TRUE,1388,3.1592616142933,39
"ENSG00000127129",TRUE,1541,10.2414604407345,32
"ENSG00000127124",TRUE,35626,75.4162659423617,101
"ENSG00000198815",TRUE,96664,91.7478477514126,101
"ENSG00000177181",TRUE,11216,31.6773091818199,99
"ENSG00000066185",TRUE,5539,27.5086406605218,95
"ENSG00000127125",TRUE,58696,57.7885091318407,101
"ENSG00000186409",TRUE,10442,49.8783044943526,101
"ENSG00000171960",TRUE,22834,52.3382706019624,101
"ENSG00000065978",TRUE,571412,655.109527752405,101
"ENSG00000117385",TRUE,61469,81.4149435120224,101
"ENSG00000164008",TRUE,6102,8.21799041371418,101
"ENSG00000177868",TRUE,16845,22.3753733484236,101
"ENSG00000164010",TRUE,35041,37.8950764067756,101
"ENSG00000164011",TRUE,13706,17.4656735303094,101
"ENSG00000117394",TRUE,25866,60.3398682120488,101
"ENSG00000186973",TRUE,14188,104.139853929118,63
"ENSG00000117395",TRUE,51411,67.1544293152977,101
"ENSG00000243710",TRUE,11862,94.76877853927,70
"ENSG00000179178",TRUE,87936,178.208807016956,101
"ENSG00000253313",TRUE,10742,22.3232679082136,97
"ENSG00000066056",TRUE,134333,183.423509942045,101
"ENSG00000117399",TRUE,5652,33.511554558091,95
"ENSG00000066322",TRUE,109272,129.071621392863,101
"ENSG00000159479",TRUE,48282,55.6321430222519,101
"ENSG00000198198",TRUE,107761,117.354655238205,101
"ENSG00000178922",TRUE,46208,77.9426044216275,101
"ENSG00000142949",TRUE,193835,431.312048527956,101
"ENSG00000066135",TRUE,36317,38.6441828463513,101
"ENSG00000126091",TRUE,4226,6.02454913403884,101
"ENSG00000117407",TRUE,2767,6.40622722423745,71
"ENSG00000117408",TRUE,49564,56.8566824524915,101
"ENSG00000132768",TRUE,26111,36.2039209272293,101
"ENSG00000117410",TRUE,144375,376.007172828199,101
"ENSG00000117411",TRUE,46188,79.0722073842598,101
"ENSG00000159214",TRUE,13627,45.6462059311954,101
"ENSG00000196517",TRUE,25485,52.785713525632,101
"ENSG00000171872",TRUE,1197,3.74701918514551,28
"ENSG00000178028",TRUE,54707,64.0861414133381,101
"ENSG00000117419",TRUE,46533,67.9267914862879,101
"ENSG00000187147",TRUE,85852,103.471631377117,101
"ENSG00000126106",TRUE,13970,19.2630835321996,101
"ENSG00000198520",TRUE,10666,30.6071413942618,101
